Frame Count,Marker ID,Position X,Position Y,Position Z,Orientation X,Orientation Y,Orientation Z
0,1,0.02818871,-0.093426313,0.802257672,0.179659262,2.933086049,0.136239177
1,1,0.029215022,-0.094968235,0.800402681,-0.119177022,-3.05059087,0.145494981
2,1,0.024827532,-0.091183017,0.799262237,0.140196592,2.978873141,-0.001380383
3,1,0.025930484,-0.089934779,0.765516101,0.143301393,3.184655478,-0.313917147
4,1,0.02783828,-0.095365454,0.787987661,0.143451226,3.120665706,0.012352989
5,1,0.027922629,-0.08914241,0.763750543,-0.170281368,-3.276758001,0.01405547
6,1,0.032957959,-0.094666806,0.758231573,0.230431359,3.076698561,0.005083651
7,1,0.03501352,-0.091566158,0.747611919,0.249094903,3.003321009,-0.123691955
8,1,0.03685909,-0.090119993,0.759705846,0.199607116,2.986189798,-0.019179504
9,1,0.037070467,-0.094149838,0.745665378,0.190302918,2.966215995,0.125741794
10,1,0.038832297,-0.096680463,0.759832341,0.229913741,3.117168639,0.01318972
11,1,0.038007234,-0.097746541,0.743135743,0.233277886,2.96734403,0.127509131
12,1,0.040036343,-0.098651741,0.758167503,-0.26434989,-3.256424529,0.011027193
16,1,0.041681701,-0.101177764,0.737336355,0.238610264,3.353505776,0.450176889
22,1,0.044623741,-0.097576482,0.725040802,-0.218466388,-3.840991306,0.013655842
25,1,0.042636271,-0.099243946,0.690632145,-0.213002387,-2.732551689,-0.233543799
13,1,0.040205263,-0.10012843,0.695347309,-0.355765057,-3.326203346,-0.072478337
14,1,0.044166997,-0.112804406,0.692286857,0.382234337,2.935767595,-0.002460072
15,1,0.04393275,-0.11030221,0.686137273,0.421069445,2.978673002,0.126694165
22,1,0.044531381,-0.111392528,0.688937703,-0.363165551,-2.903203752,-0.186984008
